@relation landmine10

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute class {no,yes}

@data
8.6046324e+00,3.8809903e+01,7.0138234e+00,8.4939740e+00,1.0398532e+01,3.1373529e+00,1.9843480e+01,2.1526001e+01,2.2074893e+01,no
1.2899009e+00,3.7954996e+00,7.0727712e+00,8.5398901e+00,9.1264859e+00,1.3061926e+01,1.6438843e+01,1.7938731e+01,1.8348197e+01,no
-2.7597971e-01,1.2493913e-01,4.6598459e+00,4.8225416e+00,2.6241086e+00,-1.1517768e-01,3.1429868e+00,3.2509213e+00,3.0706640e+00,no
-2.8504077e-01,1.3370779e-01,5.3294654e+00,6.0747529e+00,2.2128072e+00,5.5361714e-01,2.8612898e+00,3.0345625e+00,3.1200991e+00,no
-4.4906334e-01,1.4289241e-02,3.7213988e+00,3.9536629e+00,3.3699711e+00,-1.2338285e-01,2.3418523e+00,2.0817940e+00,1.9225492e+00,no
4.8740338e-01,2.0237963e-01,3.1098577e+00,3.0783134e+00,3.2731904e+00,-2.4106279e-01,2.8090318e+00,2.1643459e+00,1.7772265e+00,no
-1.2736612e+00,-1.1690405e-01,3.5555504e+00,3.8204004e+00,1.1101206e+00,-2.6782754e-01,1.1734448e+00,1.1562849e+00,1.2280177e+00,no
-6.2200966e-01,-5.4228280e-02,2.8761625e+00,2.8685913e+00,2.0841453e+00,1.1311586e-01,1.9183380e+00,1.5568699e+00,1.1451188e+00,no
-9.8922587e-01,-1.0581961e-01,3.3293125e+00,3.5186700e+00,1.2577628e+00,1.1747980e+00,1.0617590e+00,1.1365106e+00,1.0141775e+00,no
1.2262722e+00,2.6190973e-01,2.4443998e+00,2.1123657e+00,1.0184739e+00,-2.8485980e-01,1.0826159e+00,1.1793809e+00,1.0465509e+00,no
1.4801003e-02,2.8830098e-01,3.2894809e+00,3.2412695e+00,2.9570845e+00,2.4063564e+00,3.3598628e+00,3.0539310e+00,2.9263609e+00,no
2.9539450e+00,2.8298452e+00,2.2410971e+00,1.5285706e+00,4.5093799e+00,-1.8335746e-01,5.1342328e+00,4.1936667e+00,3.4468688e+00,no
-4.3183202e-01,-4.9357006e-02,3.6887403e+00,4.1448470e+00,1.8529246e+00,-2.9093127e-01,1.1682442e+00,1.0588968e+00,9.9496039e-01,no
-7.5652134e-01,-6.7175190e-02,2.6460119e+00,2.5514186e+00,7.7599117e-01,-2.8925772e-01,1.1463001e+00,1.2211480e+00,1.1788803e+00,no
-8.1882031e-01,-7.3841553e-02,2.3649097e+00,1.9070997e+00,2.5939859e-01,-2.3064451e-01,6.4113949e-01,7.9473072e-01,8.4335987e-01,no
-5.1795269e-01,-4.9738902e-02,2.4917143e+00,2.3994574e+00,2.2521119e+00,-2.1058510e-01,1.3379827e+00,1.1201555e+00,8.0565207e-01,no
6.0156927e-01,1.4922156e-01,2.4567383e+00,1.9264986e+00,2.2535936e+00,6.2691162e-02,1.0504224e+00,8.2913032e-01,6.8061584e-01,no
-3.3371590e-01,-3.2799388e-02,2.2067995e+00,2.1510688e+00,2.0513078e+00,-2.8264980e-01,1.1655288e+00,9.9191937e-01,8.0796058e-01,no
2.1801142e-01,3.5787526e-02,2.2498228e+00,2.2760041e+00,7.3757180e-01,5.9276893e-01,6.6586040e-01,6.8526892e-01,6.3170925e-01,no
-1.3383988e+00,-1.3777109e-01,3.2210198e+00,3.7485136e+00,9.0266605e-01,-2.4955041e-01,5.5903249e-01,6.9507883e-01,8.2578651e-01,yes
